UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,,,,,,,,
9330,Малый Калужский переулок,58481111,М. Калужский пер.,Maly'j Kaluzhskij pereulok,2,,610,"7,70000000003648E+016",,,,,,,,
9340,Калмыков переулок,58481112,Калмыков пер.,Kalmy'kov pereulok,2,,105,"7,70000000003647E+016",,,,,,,,
9350,Долгоруковская улица,58481113,Долгоруковская ул.,Dolgorukovskaya ulicza,1,,108,"7,70000000007162E+016",,,,,,,,
9360,улица Каманина,58481114,ул. Каманина,ulicza Kamanina,1,,306,"7,70000000001425E+016",,,,,,,,
9390,улица Большие Каменщики,58481115,ул. Б. Каменщики,ulicza Bol`shie Kamenshhiki,1,,107,"7,70000000001427E+016",,,,,,,,
9400,улица Малые Каменщики,58481116,ул. М. Каменщики,ulicza Maly'e Kamenshhiki,1,,107,"7,70000000001428E+016",,,,,,,,
9405,улица Камова,58481118,ул. Камова,ulicza Kamova,1,,409,"7,70000000000397E+016",,,,,,,,
9410,Камчатская улица,58481119,Камчатская ул.,Kamchatskaya ulicza,1,,406,"7,7000000000143E+016",,,,,,,,
9415,Канатчиковский проезд,58481120,Канатчиковский пр.,Kanatchikovskij proezd,3,,610,"7,7000000000365E+016",,,,,,,,
9420,Кантемировская улица,58481121,Кантемировская ул.,Kantemirovskaya ulicza,1,,612,618,615,"7,70000000000492E+016",,,,,,
9430,Капельский переулок,58481122,Капельский пер.,Kapel`skij pereulok,2,,105,"7,70000000001431E+016",,,,,,,,
9440,улица Академика Капицы,58481123,ул. Академика Капицы,ulicza Akademika Kapiczy',1,,704,"7,70000000001432E+016",,,,,,,,
9441,улица Сергея Капицы,58481124,ул. Сергея Капицы,ulicza Sergeya Kapiczy',1,,702,"7,70000000007565E+016",,,,,,,,
9450,1-й Капотнинский проезд,58481125,1-й Капотнинский пр.,Pervy'j Kapotninskij proezd,3,,505,"7,70000000003651E+016",,,,,,,,
9455,2-й Капотнинский проезд,58481126,2-й Капотнинский пр.,Vtoroj Kapotninskij proezd,3,,505,"7,70000000007351E+016",,,,,,,,
9460,улица Капотня,58481127,ул. Капотня,ulicza Kapotnya,1,,505,"7,70000000007333E+016",,,,,,,,
9470,переулок Капранова,58481128,пер. Капранова,pereulok Kapranova,2,,106,"7,70000000001433E+016",,,,,,,,
9485,проезд Карамзина,58481129,пр. Карамзина,proezd Karamzina,3,,712,"7,70000000001434E+016",,,,,,,,
9500,Карамышевская набережная,58481130,Карамышевская наб.,Karamy'shevskaya naberezhnaya,5,,906,"7,70000000001435E+016",,,,,,,,
9510,Карамышевский проезд,58481131,Карамышевский пр.,Karamy'shevskij proezd,3,,906,"7,70000000001436E+016",,,,,,,,
9520,Карачаровская улица,58481133,Карачаровская ул.,Karacharovskaya ulicza,1,,510,"7,70000000003653E+016",,,,,,,,
9530,1-я Карачаровская улица,58481134,1-я Карачаровская ул.,Pervaya Karacharovskaya ulicza,1,,510,"7,70000000000022E+016",,,,,,,,
9540,2-я Карачаровская улица,58481135,2-я Карачаровская ул.,Vtoraya Karacharovskaya ulicza,1,,510,"7,70000000000023E+016",,,,,,,,
9550,3-я Карачаровская улица,58481136,3-я Карачаровская ул.,Tret`ya Karacharovskaya ulicza,1,,510,"7,70000000000024E+016",,,,,,,,
9570,2-й Карачаровский проезд,58481137,2-й Карачаровский пр.,Vtoroj Karacharovskij proezd,3,,510,"7,70000000000021E+016",,,,,,,,
9580,1-й Карачаровский проезд,58481138,1-й Карачаровский пр.,Pervy'j Karacharovskij proezd,3,,510,"7,70000000001437E+016",,,,,,,,
9590,Карачаровское шоссе,58481139,Карачаровское ш.,Karacharovskoe shosse,6,,510,"7,70000000000025E+016",,,,,,,,
9610,бульвар Генерала Карбышева,58481140,бульв. Генерала Карбышева,bul`var Generala Karby'sheva,8,,906,"7,70000000001438E+016",,,,,,,,
9615,Каргопольская улица,58481141,Каргопольская ул.,Kargopol`skaya ulicza,1,,311,"7,70000000001439E+016",,,,,,,,
9620,Карелин проезд,58481142,Карелин пр.,Karelin proezd,3,,108,"7,70000000004037E+016",,,,,,,,
9630,Карельский бульвар,58481143,Карельский бульв.,Karel`skij bul`var,8,,208,"7,7000000000144E+016",,,,,,,,
9640,Малый Каретный переулок,58481144,М. Каретный пер.,Maly'j Karetny'j pereulok,2,,108,"7,7000000000055E+016",,,,,,,,
